ct_name,ct_id,TotalPop,Female,Male,AgeU5,Age517,Age1824,Age2534,Age3544,Age4554,Age5559,Age6061,Age6264,Age6574,Age75P,BornInState,BornInOtherState,NativeBornOutOfUS,ForeignBornNaturalized,ForeignBornNonCitizen,White,Black,Asian,OtherRace,Hispanic,TwoOrMore,MedHouseIncome,MedHousingCost,MedHouseValue,MedRentAsIncomePct,GINI,SexRatio,Age6064,AgeOld,Veteran,HI_PrivateInsured,HI_PublicInsured,HI_Insured,NoSchool,LessThanHS,HSGrad,SomeColl,Bach,Master,Prof,Doc,AtLeastBachelor,PopPerHousing,VacentUnits,OwnerOccupied,RenterOccupied,BelowHalfPoverty,BelowPoverty,BelowTwoPoverty,AboveTwoPoverty,PubAssist,UnempRate,ChildInNeed,ChildInNeed_SingleParent,ChildInNeed_SingleMom,ChildInNeed_Nonfamily,EthHet,HH_MarriedCouple,HH_SingleHead,HH_MaleHead,HH_FemaleHead,HH_Nonfamily,HH_LiveAlone,HH_NotAlone,GrandHead,land_area,PopDen
"Census Tract 215, Alamance County, North Carolina",37001021500,4815,0.4635514018691589,0.5364485981308411,0.059190031152647975,0.15285565939771548,0.03717549325025961,0.13104880581516096,0.12045690550363447,0.20415368639667705,0.08681204569055036,0.018691588785046728,0.037383177570093455,0.09179646936656283,0.06043613707165109,0.6992731048805815,0.24257528556593977,0.004361370716510903,0.011007268951194185,0.042782969885773625,0.8913811007268951,0.04631360332294912,0,0,0.05773624091381101,0.004569055036344756,54674,911,151800,0.29100000000000004,0.3738,0.8641114982578397,1.1645849710309487e-5,0.2083073727933541,0.0819715340010543,0.7023883696780893,0.26583592938733125,0.866251298026999,0.006085753803596127,0.1413554633471646,0.2879668049792531,0.40636237897648686,0.11258644536652836,0.04094052558782849,0,0.010788381742738589,0.16431535269709543,3.0590851334180433,0.12555555555555556,0.8744444444444445,0.12555555555555556,0.01474558670820353,0.08785046728971962,0.2525441329179647,0.7474558670820353,0.005,0.03733031674208145,0.16062683643486778,0.07443682664054849,0.06268364348677767,0,0.19994043363537062,0.5844444444444444,0.17333333333333334,0.05,0.12333333333333334,0.24222222222222223,0.2088888888888889,0.03333333333333333,0.011613691931540342,91556012,52.59075722957439
"Census Tract 30.01, Buncombe County, North Carolina",37021003001,9051,0.4880123743232792,0.5119876256767208,0.03745442492542261,0.1304828195779472,0.1008728317313004,0.15501049607778147,0.11170036460059662,0.11346812506905314,0.0701579935918683,0.04032703568666446,0.05325378411225279,0.1136890951276102,0.07358302949950282,0.5283394100099437,0.43520053032814054,0.0038669760247486465,0.01237432327919567,0.020218760357971495,0.8659816594851397,0.04938680808750414,0.0016572754391779914,0.005413766434648105,0.051486023643796265,0.02607446690973373,48500,760,166400,0.381,0.4393,0.9531722054380664,1.033927961539247e-5,0.28085294442603026,0.11446023104501395,0.6094354215003867,0.3638272014142084,0.8350458512871506,0.014203686914475672,0.08038682381384105,0.32184950135992746,0.28921124206708976,0.16953762466001812,0.10229676639468117,0.015110305228165609,0.021607736476276822,0.30855243275914174,3.5973767885532593,0.3196322336398053,0.6803677663601947,0.3196322336398053,0.05681685877284899,0.12073582489230411,0.3662824543020142,0.6337175456979858,0.005408328826392645,0.05282689369133377,0.18376928236083165,0.08048289738430583,0.08048289738430583,0,0.24427396473812502,0.45105462412114655,0.1065440778799351,0.025148729042725797,0.08139534883720931,0.4424012979989183,0.37885343428880475,0.06354786371011358,0.015077079451126546,71122327,127.25961567596066
"Census Tract 32.03, Buncombe County, North Carolina",37021003203,6118,0.5238640078457012,0.4761359921542988,0.059823471722785224,0.1999019287348807,0.04069957502451781,0.15184700882641386,0.13501144164759726,0.10199411572409284,0.07731284733573063,0.040536122915985615,0.033344230140568816,0.10706113108859104,0.05246812683883622,0.456685191238967,0.4900294213795358,0.007028440666884603,0.012258908139915006,0.03399803857469761,0.8050016345210853,0.09643674403399805,0.0021248774109186006,0,0.04919908466819222,0.04723765936580582,51731,1017,254100,0.35600000000000004,0.4495,1.100240302094061,1.2075899486197194e-5,0.23340961098398172,0.12828438948995363,0.7179017485428809,0.25445462114904244,0.8621149042464613,0,0.06588785046728972,0.27009345794392525,0.25350467289719625,0.2518691588785047,0.11799065420560748,0.020093457943925235,0.020560747663551402,0.4105140186915889,4.452692867540029,0.404163052905464,0.5958369470945359,0.404163052905464,0.03609805238415044,0.08646742780389523,0.33344526527871055,0.6665547347212895,0.010407632263660017,0.061419753086419754,0.2989301447451227,0.1145374449339207,0.00881057268722467,0.030837004405286344,0.33801586131994277,0.5195143104943626,0.14267129228100608,0.07675628794449263,0.06591500433651344,0.3378143972246314,0.26496097137901126,0.07285342584562012,0.029672045809474232,29043471,210.6497532612407
"Census Tract 32.04, Buncombe County, North Carolina",37021003204,5444,0.4680382072005878,0.5319617927994122,0.037288758265980895,0.14768552534900808,0.06576047024246877,0.11407053637031594,0.11756061719324026,0.17266715650257164,0.12178545187362233,0.019654665686994855,0.03857457751653196,0.12913299044819984,0.03581925055106539,0.5760470242468773,0.3473548861131521,0.0036737692872887582,0.03434974283614989,0.03857457751653196,0.8747244673034533,0.0014695077149155032,0,0.0034900808229243203,0.06869948567229978,0.05161645848640705,57048,916,224100,0.268,0.3897,0.8798342541436464,1.0696040265159226e-5,0.22318148420279205,0.09961685823754789,0.6923643054277829,0.302851885924563,0.8391904323827047,0.01152243196861976,0.0502574160333415,0.24908065702378035,0.36111792105908314,0.2027457710223094,0.1051728364795293,0.016180436381466046,0.015444962000490316,0.3395440058837951,3.0757062146892657,0.18881759853345553,0.8111824014665444,0.18881759853345553,0.04158233670653174,0.08445262189512419,0.23532658693652253,0.7646734130634775,0.03528872593950504,0.049529780564263326,0.2172172172172172,0.2032032032032032,0.08408408408408409,0,0.22745888806529757,0.6310724106324473,0.11594867094408799,0.05041246562786435,0.06553620531622364,0.2529789184234647,0.20348304307974335,0.04949587534372136,0,86120410,63.21381888451298
"Census Tract 405, Cabarrus County, North Carolina",37025040500,11716,0.4869409354728576,0.5130590645271423,0.1006316148856265,0.1897405257767156,0.08364629566404916,0.14305223625810856,0.16285421645612838,0.10097302833731649,0.05821099351314442,0.015448958688972345,0.033543871628542166,0.06759986343461932,0.04429839535677706,0.593547285763059,0.31725844998292935,0.015107545237282348,0.010157050187777399,0.06392966882895186,0.6618299761010584,0.16208603618982587,0,0,0.16567087743257083,0.010413110276544896,60521,1061,138200,0.253,0.3348,0.9490933288970221,4.181702826691235e-6,0.16089108910891087,0.1004330045706038,0.7112495732331854,0.2582792762034824,0.8840047797883237,0.025906735751295335,0.10403599672757022,0.3114262339787292,0.3536951186255795,0.16812107990182712,0.05017725661303518,0.003408781019907281,0.009135533133351513,0.2308426506681211,3.70173775671406,0.22101895151365986,0.7789810484863401,0.22101895151365986,0.01212017753499488,0.11497097985660636,0.3196483441447593,0.6803516558552407,0,0.08764415156507413,0.32069370958259846,0.13227513227513227,0.10376249265138154,0,0.5081539271114335,0.5961112478464189,0.15948806300762983,0.06940684223480187,0.09008122077282796,0.24440068914595126,0.23061777012060053,0.013782919025350726,0.014863622433343548,50456763,232.1988035578105
"Census Tract 406, Cabarrus County, North Carolina",37025040600,6209,0.5202125946207119,0.47978740537928816,0.044290545981639555,0.16427766145917216,0.06410049927524561,0.11837655016910936,0.12224190690932517,0.18908036720889032,0.06893219520051538,0.03881462393300048,0.02963440167498792,0.09276856176517957,0.06748268642293445,0.7532613947495571,0.22902238685778709,0.00595909164116605,0.0017716218392655823,0.009985504912224191,0.9524883234015139,0.015139313899178612,0.010146561443066516,0,0,0.02222580125624094,55417,1e3,158100,0.23,0.3642,1.0842564618999664,1.1024162603960124e-5,0.22870027379610244,0.08526658526658526,0.7194395232726687,0.2630053148655178,0.8914478982122725,0.03210806023029229,0.1587688219663419,0.3038086802480071,0.3496457041629761,0.12245349867139062,0.05602302922940655,0,0.009300265721877768,0.1877767936226749,2.9287735849056604,0.10472972972972973,0.8952702702702703,0.10472972972972973,0.027218553712353037,0.10919632791109679,0.30181993879851826,0.6981800612014817,0.01097972972972973,0.09503865979381443,0.13976833976833977,0.13976833976833977,0.13976833976833977,0,0.09193985600783527,0.6013513513513513,0.18032094594594594,0.028293918918918918,0.15202702702702703,0.21832770270270271,0.20059121621621623,0.017736486486486486,0.019645888915837982,104605733,59.35621138470489
"Census Tract 407.01, Cabarrus County, North Carolina",37025040701,1509,0.41086812458581845,0.5891318754141815,0.023194168323392977,0.08548707753479125,0.1954937044400265,0.0927766732935719,0.1709741550695825,0.11000662690523526,0.07488402915838303,0.02584493041749503,0.05500331345261763,0.09874088800530152,0.06759443339960239,0.6375082836315441,0.28893306825712395,0.0145791915175613,0.0291583830351226,0.02982107355864811,0.8674618952948973,0.055666003976143144,0,0,0.07687210072895957,0,36250,669,106800,0.22699999999999998,0.3839,0.6974128233970754,5.357736505640335e-5,0.2471835652750166,0.07509293680297398,0.5241882041086813,0.30019880715705766,0.7329357190192181,0.02095238095238095,0.16380952380952382,0.4580952380952381,0.2714285714285714,0.08285714285714285,0.01619047619047619,0,0.007619047619047619,0.10666666666666666,3.8494897959183674,0.4078549848942598,0.5921450151057401,0.4078549848942598,0.12758851035404142,0.15898463593854376,0.37207748830995324,0.6279225116900468,0.021148036253776436,0.0804953560371517,0.20121951219512196,0.10365853658536585,0.10365853658536585,0,0.23850183634222943,0.41389728096676737,0.11178247734138973,0.028700906344410877,0.08308157099697885,0.4743202416918429,0.2990936555891239,0.17522658610271905,0.007345225603357817,3092816,487.9048737461265
"Census Tract 407.02, Cabarrus County, North Carolina",37025040702,7212,0.5131724902939545,0.4868275097060455,0.048807542983915694,0.2264281752634498,0.08139212423738214,0.13033832501386577,0.13574597892401552,0.1550194120909595,0.02759290072102052,0.01317249029395452,0.041735995562950635,0.06613976705490848,0.07362728785357738,0.5873544093178037,0.32196339434276205,0.009151414309484194,0.023433166943982252,0.05809761508596783,0.49819744869661675,0.3362451469772601,0.004575707154742097,0.003050471436494731,0.13671658347199112,0.021214642262895173,47672,917,130600,0.295,0.3696,1.0541156365707776,7.61348944216655e-6,0.194675540765391,0.09871819399273006,0.608291735995563,0.3481697171381032,0.8201608430393789,0.009051724137931035,0.16056034482758622,0.3116379310344828,0.35107758620689655,0.09676724137931035,0.05,0.02995689655172414,0,0.1767241379310345,4.0200668896321075,0.2695439739413681,0.7304560260586319,0.2695439739413681,0.05589801064724012,0.14934155225553375,0.36312692630989074,0.6368730736901093,0.024429967426710098,0.17735263702171664,0.24483627204030226,0.11083123425692695,0.11083123425692695,0,0.6195667755318753,0.5798045602605864,0.1767100977198697,0,0.1767100977198697,0.24348534201954397,0.22190553745928338,0.021579804560260585,0.022602739726027398,8508202,847.6526532867931
"Census Tract 407.03, Cabarrus County, North Carolina",37025040703,2377,0.5923432898611696,0.4076567101388305,0.03323517038283551,0.19057635675220866,0.06058056373580143,0.10180900294488851,0.1510307109802272,0.16827934371055953,0.04249053428691628,0.002524190155658393,0.0361800588977703,0.10433319310054691,0.1089608750525873,0.6192679848548591,0.29953723180479597,0.0361800588977703,0.002103491796381994,0.04291123264619268,0.43920908708456036,0.45982330668910393,0,0.002524190155658393,0.09633992427429533,0.002103491796381994,24025,699,108400,0.38799999999999996,0.3569,1.453044375644995,1.628281407380256e-5,0.2519983172065629,0.08130081300813008,0.4212147887323944,0.5462147887323944,0.8125,0.03292181069958848,0.25279247501469726,0.3733098177542622,0.3274544385655497,0.04350382128159906,0,0.0029394473838918285,0,0.04644326866549089,6.126288659793815,0.619234543670265,0.380765456329735,0.619234543670265,0.11179577464788733,0.1875,0.75,0.25,0.023552502453385672,0.2369172216936251,0.4548872180451128,0.34022556390977443,0.2894736842105263,0,0.5863657272249891,0.26594700686947986,0.23454367026496564,0.011776251226692836,0.22276741903827282,0.49950932286555444,0.47203140333660454,0.02747791952894995,0.021210230817217717,4323747,549.7546456811649
"Census Tract 408, Cabarrus County, North Carolina",37025040800,3671,0.5126668482702261,0.48733315172977393,0.07300463089076546,0.14927812585126668,0.06564968673385999,0.1533642059384364,0.14737128847725414,0.15853990738218468,0.06837374012530646,0.022064832470716427,0.01661672568782348,0.10160719150095342,0.044129664941432854,0.6426041950422229,0.29147371288477253,0.001089621356578589,0.0029964587305911197,0.061836011985834924,0.6706619449741215,0.22391718877690003,0,0,0.08226641242168346,0.023154453827295016,33071,733,96800,0.344,0.3842,1.0519843487982112,1.053706296882046e-5,0.1844184146009262,0.10192644483362522,0.5886679378915827,0.3911740670117134,0.8823208934895124,0.02180566182096404,0.20504973221117062,0.26281560826319816,0.36648814078041314,0.13351185921958683,0.032134659525631215,0,0,0.16564651874521805,5.1777150916784205,0.5582554517133956,0.44174454828660437,0.5582554517133956,0.10760010896213566,0.22364478343775537,0.48052301825115773,0.5194769817488423,0.02118380062305296,0.0646900269541779,0.33578431372549017,0.2181372549019608,0.19117647058823528,0,0.4927697567890037,0.33769470404984425,0.25794392523364484,0.07850467289719626,0.17943925233644858,0.4043613707165109,0.3233644859813084,0.08099688473520249,0.012446351931330472,3833681,957.565326901221
