ct_name,ct_id,TotalPop,Female,Male,AgeU5,Age517,Age1824,Age2534,Age3544,Age4554,Age5559,Age6061,Age6264,Age6574,Age75P,BornInState,BornInOtherState,NativeBornOutOfUS,ForeignBornNaturalized,ForeignBornNonCitizen,White,Black,Asian,OtherRace,Hispanic,TwoOrMore,MedHouseIncome,MedHousingCost,MedHouseValue,MedRentAsIncomePct,GINI,SexRatio,Age6064,AgeOld,Veteran,HI_PrivateInsured,HI_PublicInsured,HI_Insured,NoSchool,LessThanHS,HSGrad,SomeColl,Bach,Master,Prof,Doc,AtLeastBachelor,PopPerHousing,VacentUnits,OwnerOccupied,RenterOccupied,BelowHalfPoverty,BelowPoverty,BelowTwoPoverty,AboveTwoPoverty,PubAssist,UnempRate,ChildInNeed,ChildInNeed_SingleParent,ChildInNeed_SingleMom,ChildInNeed_Nonfamily,EthHet,HH_MarriedCouple,HH_SingleHead,HH_MaleHead,HH_FemaleHead,HH_Nonfamily,HH_LiveAlone,HH_NotAlone,GrandHead,land_area,PopDen
"Census Tract 1011.02, Cuyahoga County, Ohio",39035101102,4516,0.4800708591674048,0.5199291408325952,0.05491585473870682,0.054030115146147036,0.11403897254207263,0.27059344552701503,0.15301151461470328,0.13153232949512844,0.06288751107174491,0.015057573073516387,0.05513728963684677,0.02878653675819309,0.0600088573959256,0.687555358724535,0.2519929140832595,0,0.04450841452612932,0.015943312666076175,0.6569973427812223,0.24889282550930025,0,0.0024357838795394152,0.026350752878653676,0.06532329495128432,39528,701,139800,0.252,0.4781,0.9233390119250425,1.554359227421682e-5,0.15899025686448184,0.060139165009940355,0.6848981399468557,0.312666076173605,0.8901682905225864,0.004274722143060701,0.07979481333713309,0.21915075520091193,0.29353092049016816,0.22428042177258478,0.09062410943288686,0.060131091479053864,0.032487888287261325,0.40752351097178685,6.4147727272727275,0.7196336121067304,0.2803663878932696,0.7196336121067304,0.056465899025686446,0.11226749335695306,0.3675819309123118,0.6324180690876883,0.015531660692951015,0.045174537987679675,0.2459349593495935,0.2459349593495935,0.21544715447154472,0,0.5014394249047378,0.17921146953405018,0.14575866188769415,0.04062126642771804,0.10513739545997611,0.6750298685782556,0.5826363998407009,0.09239346873755476,0.007202016564638099,1324748,3408.950230534411
"Census Tract 1012, Cuyahoga County, Ohio",39035101200,2640,0.4856060606060606,0.5143939393939394,0.0715909090909091,0.12272727272727273,0.06136363636363636,0.2375,0.12121212121212122,0.1337121212121212,0.03295454545454545,0.035227272727272725,0.03636363636363636,0.08522727272727272,0.06212121212121212,0.656439393939394,0.1662878787878788,0.1215909090909091,0.035227272727272725,0.020454545454545454,0.5371212121212121,0.22196969696969698,0,0.007954545454545454,0.22537878787878787,0.007575757575757576,18262,605,108300,0.34600000000000003,0.513,0.9440353460972017,2.7117768595041322e-5,0.21893939393939393,0.09026798307475317,0.38333333333333336,0.5886363636363636,0.8939393939393939,0.005089058524173028,0.20865139949109415,0.31603053435114503,0.23715012722646311,0.14707379134860052,0.06564885496183206,0.017811704834605598,0.007633587786259542,0.23816793893129773,10.232558139534884,0.8153185397279885,0.18468146027201146,0.8153185397279885,0.10170777988614801,0.4330170777988615,0.6679316888045541,0.33206831119544594,0.06728704366499642,0.1160275319567355,0.4015594541910331,0.2202729044834308,0.20077972709551656,0,0.611313992194674,0.25125268432355047,0.08017179670722978,0.02934860415175376,0.05082319255547602,0.6685755189692197,0.5533285612025769,0.1152469577666428,0.01775147928994083,1298153,2033.6585903202474
"Census Tract 1013, Cuyahoga County, Ohio",39035101300,1897,0.4870848708487085,0.5129151291512916,0.03848181338956247,0.14127569847127042,0.11808118081180811,0.1591987348444913,0.16605166051660517,0.13336847654190828,0.05904059040590406,0.028993147074327884,0.01739588824459673,0.05904059040590406,0.0790722192936215,0.727991565629942,0.14760147601476015,0.03373748023194518,0.035318924617817604,0.055350553505535055,0.4644175013178703,0.29467580390089615,0.002635740643120717,0.02055877701634159,0.13547706905640486,0.08223510806536637,19872,649,71e3,0.41,0.5645,0.9496402877697842,2.4453893157050405e-5,0.18450184501845018,0.036632390745501286,0.3259511641113004,0.6206700738216923,0.8779102782509938,0.02177177177177177,0.24549549549549549,0.3408408408408408,0.27627627627627627,0.10810810810810811,0.012762762762762763,0.013513513513513514,0.003003003003003003,0.13738738738738737,13.17361111111111,0.8372881355932204,0.16271186440677965,0.8372881355932204,0.2093156986774008,0.39620471535365154,0.706728004600345,0.293271995399655,0.07570621468926554,0.11419753086419752,0.8709677419354839,0.4868035190615836,0.36363636363636365,0,0.6719362953852448,0.13220338983050847,0.18983050847457628,0.08135593220338982,0.10847457627118644,0.6779661016949152,0.5898305084745763,0.08813559322033898,0.023029229406554472,626776,3026.5996145353365
"Census Tract 1031, Cuyahoga County, Ohio",39035103100,1215,0.4082304526748971,0.5917695473251029,0.04279835390946502,0.26666666666666666,0.13415637860082305,0.18765432098765433,0.09382716049382717,0.13415637860082305,0.04691358024691358,0.02139917695473251,0.02962962962962963,0.03374485596707819,0.00905349794238683,0.5547325102880658,0.2872427983539095,0.0823045267489712,0.027160493827160494,0.048559670781893,0.4732510288065844,0.11934156378600823,0.00823045267489712,0,0.3308641975308642,0.06831275720164609,32692,697,102500,0.265,0.414,0.6898470097357441,4.199901776490711e-5,0.09382716049382717,0.06555423122765197,0.3786008230452675,0.5333333333333333,0.8592592592592593,0.029585798816568046,0.15088757396449703,0.2411242603550296,0.3328402366863905,0.15680473372781065,0.09319526627218935,0.0073964497041420114,0.01775147928994083,0.2751479289940828,7.738853503184713,0.6729166666666667,0.32708333333333334,0.6729166666666667,0.12921810699588476,0.4674897119341564,0.6790123456790124,0.32098765432098764,0.06458333333333334,0.06722689075630252,0.9228723404255319,0.21808510638297873,0.21808510638297873,0,0.6475855645311521,0.24583333333333332,0.20416666666666666,0.09583333333333334,0.10833333333333334,0.55,0.46875,0.08125,0.04291044776119403,669059,1815.9833437708783
"Census Tract 1033, Cuyahoga County, Ohio",39035103300,2468,0.5875202593192869,0.41247974068071314,0.13614262560777957,0.15113452188006482,0.10696920583468396,0.2694489465153971,0.103322528363047,0.1527552674230146,0.023095623987034037,0.01661264181523501,0.01012965964343598,0.027147487844408427,0.0032414910858995136,0.7354132901134521,0.19448946515397084,0.02957860615883306,0.02674230145867099,0.013776337115072933,0.26742301458670986,0.6272285251215559,0.020664505672609402,0,0.06645056726094004,0.018233387358184763,NA,329,262200,0.221,0.6313,1.424361493123772,1.0835616474339947e-5,0.05713128038897893,0.041500852757248435,0.4181523500810373,0.5956239870340356,0.9688006482982172,0.013377926421404682,0.1725752508361204,0.1645484949832776,0.2903010033444816,0.1879598662207358,0.0822742474916388,0.049498327759197325,0.05284280936454849,0.3725752508361204,19.903225806451612,0.8987755102040816,0.10122448979591837,0.8987755102040816,0.31766612641815234,0.5579416531604539,0.6519448946515397,0.3480551053484603,0.10612244897959183,0.17972350230414746,0.8504936530324401,0.8392101551480959,0.8110014104372355,0,0.5298941524446465,0.1110204081632653,0.2742857142857143,0.035918367346938776,0.2383673469387755,0.6146938775510205,0.4636734693877551,0.1510204081632653,0.02295684113865932,499678,4939.180832456102
"Census Tract 1036.02, Cuyahoga County, Ohio",39035103602,3270,0.42079510703363915,0.5792048929663609,0.02996941896024465,0.05565749235474006,0.05107033639143731,0.24250764525993884,0.11192660550458716,0.1489296636085627,0.13363914373088684,0.0363914373088685,0.06085626911314985,0.06269113149847094,0.06636085626911314,0.6394495412844037,0.2599388379204893,0.03944954128440367,0.04128440366972477,0.019877675840978593,0.6296636085626911,0.24281345565749235,0.028134556574923548,0.005810397553516819,0.06972477064220184,0.023853211009174313,37026,648,201700,0.262,0.552,0.7265047518479408,2.9739359762085124e-5,0.22629969418960244,0.08795986622073579,0.4947229551451187,0.42645118733509235,0.8611477572559367,0.031526744597945446,0.17003188097768332,0.2199787460148778,0.16578108395324123,0.2504427913567127,0.12433581296493093,0.05526036131774708,0.014169323414806943,0.4442082890541977,7.186813186813187,0.736231884057971,0.263768115942029,0.736231884057971,0.12860457408021214,0.345707656612529,0.5087835598276433,0.49121644017235666,0.07768115942028986,0.11081654294803818,0.5471698113207547,0.47924528301886793,0.47924528301886793,0,0.5383095324935239,0.15594202898550724,0.08811594202898551,0.02666666666666667,0.06144927536231884,0.7559420289855072,0.5965217391304348,0.15942028985507245,0.009555463232239303,2306188,1417.9242975854527
"Census Tract 1039, Cuyahoga County, Ohio",39035103900,2033,0.5164781111657649,0.48352188883423514,0.07378258730939498,0.20757501229709788,0.09936055090998525,0.18002951303492376,0.13182488932611905,0.1264141662567634,0.06443679291687161,0.004918839153959666,0.04426955238563699,0.039350713231677326,0.028037383177570093,0.6743728480078701,0.16084604033448105,0.12838170191834727,0.01574028529267093,0.020659124446630595,0.35563207083128384,0.18150516478111164,0,0,0.42400393507132317,0.03885882931628136,21366,690,68300,0.42,0.4896,1.0681586978636826,2.419497862252664e-5,0.11657648794884408,0.07186858316221766,0.32857845548450565,0.6596163305459911,0.8726020659124447,0.019062748212867357,0.3550436854646545,0.24305003971405878,0.2764098490865767,0.10246227164416204,0.019857029388403495,0.003177124702144559,0,0.1254964257347101,6.5792880258899675,0.6073697585768743,0.3926302414231258,0.6073697585768743,0.19316493313521546,0.48489351163942546,0.7518573551263001,0.24814264487369986,0.062261753494282084,0.18265440210249673,0.8046594982078853,0.46774193548387094,0.2956989247311828,0,0.6592923597822355,0.20584498094027953,0.37229987293519695,0.09911054637865312,0.2731893265565438,0.4218551461245235,0.2960609911054638,0.12579415501905972,0.004508566275924256,993343,2046.624378487592
"Census Tract 1042, Cuyahoga County, Ohio",39035104200,1174,0.5264054514480409,0.4735945485519591,0.10391822827938671,0.09965928449744463,0.0817717206132879,0.3126064735945486,0.1030664395229983,0.16183986371379896,0.07751277683134583,0,0.013628620102214651,0.034071550255536626,0.01192504258943782,0.7257240204429302,0.21039182282793867,0.028960817717206135,0.007666098807495741,0.027257240204429302,0.48211243611584326,0.3969335604770017,0.004258943781942078,0.00596252129471891,0.09454855195911414,0.016183986371379896,35795,707,182100,0.19699999999999998,0.5453,1.1115107913669064,1.160870536815558e-5,0.059625212947189095,0.0374331550802139,0.5391822827938672,0.4045996592844974,0.9020442930153322,0.010727056019070322,0.1430274135876043,0.1632896305125149,0.23122765196662692,0.23718712753277713,0.1632896305125149,0.050059594755661505,0.011918951132300357,0.4624553039332539,12.229166666666666,0.8513931888544891,0.14860681114551083,0.8513931888544891,0.21890971039182283,0.37137989778534924,0.5085178875638842,0.49148211243611584,0.007739938080495356,0.053231939163498096,0.6861924686192469,0.18410041841004185,0.18410041841004185,0,0.6007563071547354,0.20743034055727555,0.16563467492260062,0.020123839009287926,0.14551083591331268,0.6269349845201239,0.5185758513931888,0.10835913312693499,0,1491750,786.9951399363164
"Census Tract 1043, Cuyahoga County, Ohio",39035104300,1904,0.5709033613445378,0.42909663865546216,0.06197478991596639,0.07563025210084033,0.07930672268907563,0.45903361344537813,0.1334033613445378,0.04989495798319328,0.03991596638655462,0.03571428571428571,0.015756302521008403,0.03571428571428571,0.01365546218487395,0.7447478991596639,0.22794117647058823,0.003676470588235294,0,0.023634453781512604,0.7899159663865546,0.14128151260504201,0.01680672268907563,0.009978991596638655,0.03308823529411765,0.008928571428571428,74605,965,232400,0.196,0.5003,1.3304773561811505,2.7032871972318337e-5,0.10084033613445378,0.016443361753958587,0.7037815126050421,0.24107142857142858,0.9080882352941176,0.0026827632461435278,0.06975184439973173,0.1153588195841717,0.16297786720321933,0.33266264252179745,0.13615023474178403,0.158953722334004,0.02414486921529175,0.6519114688128772,4.958333333333333,0.6152304609218436,0.3847695390781563,0.6152304609218436,0.13550420168067226,0.22321428571428573,0.38865546218487396,0.6113445378151261,0.006012024048096192,0.035634743875278395,0.6679389312977099,0.5877862595419847,0.5877862595419847,0,0.3545157033401598,0.17635270541082165,0.09218436873747494,0,0.09218436873747494,0.7314629258517034,0.49498997995991983,0.23647294589178355,0.006042296072507553,478370,3980.182703764868
"Census Tract 1044, Cuyahoga County, Ohio",39035104400,1383,0.5112075198843095,0.48879248011569054,0.044107013738250184,0.12436731742588576,0.06652205350686913,0.27765726681127983,0.13955169920462762,0.11713665943600868,0.08604483007953724,0.033261026753434564,0.012292118582791034,0.04049168474331164,0.05856832971800434,0.7324656543745481,0.20824295010845986,0.028199566160520606,0.021691973969631236,0.009399855386840203,0.7635574837310195,0.12075198843094721,0.016630513376717282,0.0028922631959508315,0.04266088214027477,0.05350686912509038,31250,731,109700,0.332,0.5026,1.0458579881656804,3.293792142894114e-5,0.14461315979754158,0.036521739130434785,0.4895155459146782,0.40563991323210413,0.8496023138105567,0.020793950850661626,0.21172022684310018,0.2391304347826087,0.17296786389413987,0.21361058601134217,0.13043478260869565,0.011342155009451797,0.020793950850661626,0.3761814744801512,6.257918552036199,0.6829268292682927,0.3170731707317073,0.6829268292682927,0.18526622902990517,0.45805981035740334,0.5784099197665937,0.4215900802334063,0.07173601147776183,0.05562913907284768,0.5493562231759657,0.30042918454935624,0.30042918454935624,0.05150214592274678,0.39743105125820244,0.15925394548063126,0.15351506456241032,0.010043041606886656,0.14347202295552366,0.6872309899569584,0.4921090387374462,0.1951219512195122,0.03440094899169632,1128440,1225.5857644181349
